StateTxTapV,StateSn1CapBkrV,StateSn2CapBkrV,StateSn1BusBkrV,StateSn2BusBkrV,MeasTxVoltV,MeasSn1VoltV,MeasSn2VoltV,MeasTxMwV,MeasTxMvrV,MeasGn1MwV,MeasGn1MvrV,MeasGn2MwV,MeasGn2MvrV
-1,0,0,1,1,129246.1484670639,129249.66073036194,127814.53514099121,341.97119140625,-3.6646530628204346,19.0,6.069575309753418,204.0,153.4085235595703
-1,0,0,1,1,129246.1484670639,129249.66073036194,127814.53514099121,341.97119140625,-3.6646530628204346,19.0,6.069575309753418,204.0,153.4085235595703
-1,0,0,1,1,129246.1484670639,129249.66073036194,127814.53514099121,341.97119140625,-3.6646530628204346,19.0,6.069575309753418,204.0,153.4085235595703
-1,0,0,1,1,129246.1484670639,129249.66073036194,127814.53514099121,341.97119140625,-3.6646530628204346,19.0,6.069575309753418,204.0,153.4085235595703
-1,0,0,1,1,129246.1484670639,129249.66073036194,127814.53514099121,341.97119140625,-3.6646530628204346,19.0,6.069575309753418,204.0,153.4085235595703
-1,0,0,1,1,129246.1484670639,129249.66073036194,127814.53514099121,341.97119140625,-3.6646530628204346,19.0,6.069575309753418,204.0,153.4085235595703
-1,0,0,1,1,129246.1484670639,129249.66073036194,127814.53514099121,341.97119140625,-3.6646530628204346,19.0,6.069575309753418,204.0,153.4085235595703
-1,0,0,1,1,129246.1484670639,129249.66073036194,127814.53514099121,341.97119140625,-3.6646530628204346,19.0,6.069575309753418,204.0,153.4085235595703
-1,0,0,1,1,129246.1484670639,129249.66073036194,127814.53514099121,341.97119140625,-3.6646530628204346,19.0,6.069575309753418,204.0,153.4085235595703
-1,0,0,1,1,129246.1484670639,129249.66073036194,127814.53514099121,341.97119140625,-3.6646530628204346,19.0,6.069575309753418,204.0,153.4085235595703
-1,0,0,1,1,129246.1484670639,129249.66073036194,127814.53514099121,341.97119140625,-3.6646530628204346,19.0,6.069575309753418,204.0,153.4085235595703
-1,1,0,1,1,131155.05945682526,131613.66069316864,128569.59772109985,345.11480712890625,-22.041719436645508,19.0,4.17641544342041,204.0,150.88739013671875
-1,1,0,1,1,131155.05945682526,131613.66069316864,128569.59772109985,345.11480712890625,-22.041719436645508,19.0,4.17641544342041,204.0,150.88739013671875
-1,1,0,1,1,131155.05945682526,131613.66069316864,128569.59772109985,345.11480712890625,-22.041719436645508,19.0,4.17641544342041,204.0,150.88739013671875
-1,1,0,1,1,131155.05945682526,131613.66069316864,128569.59772109985,345.11480712890625,-22.041719436645508,19.0,4.17641544342041,204.0,150.88739013671875
-1,1,0,1,1,131155.05945682526,131613.66069316864,128569.59772109985,345.11480712890625,-22.041719436645508,19.0,4.17641544342041,204.0,150.88739013671875
-1,1,0,1,1,131155.05945682526,131613.66069316864,128569.59772109985,345.11480712890625,-22.041719436645508,19.0,4.17641544342041,204.0,150.88739013671875
-1,1,0,1,1,131155.05945682526,131613.66069316864,128569.59772109985,345.11480712890625,-22.041719436645508,19.0,4.17641544342041,204.0,150.88739013671875
-1,1,0,1,1,131155.05945682526,131613.66069316864,128569.59772109985,345.11480712890625,-22.041719436645508,19.0,4.17641544342041,204.0,150.88739013671875
-1,1,0,1,1,131155.05945682526,131613.66069316864,128569.59772109985,345.11480712890625,-22.041719436645508,19.0,4.17641544342041,204.0,150.88739013671875
-1,1,0,1,1,131155.05945682526,131613.66069316864,128569.59772109985,345.11480712890625,-22.041719436645508,19.0,4.17641544342041,204.0,150.88739013671875
-1,1,0,1,1,131155.05945682526,131613.66069316864,128569.59772109985,345.11480712890625,-22.041719436645508,19.0,4.17641544342041,204.0,150.88739013671875
-1,1,0,1,1,131155.05945682526,131613.66069316864,128569.59772109985,345.11480712890625,-22.041719436645508,19.0,4.17641544342041,204.0,150.88739013671875
-1,0,0,1,1,129246.1484670639,129249.66073036194,127814.53514099121,341.97119140625,-3.6646530628204346,19.0,6.069575309753418,204.0,153.4085235595703
-1,0,0,1,1,129246.1484670639,129249.66073036194,127814.53514099121,341.97119140625,-3.6646530628204346,19.0,6.069575309753418,204.0,153.4085235595703
-1,0,0,1,1,129246.1484670639,129249.66073036194,127814.53514099121,341.97119140625,-3.6646530628204346,19.0,6.069575309753418,204.0,153.4085235595703
-1,0,0,1,1,129246.1484670639,129249.66073036194,127814.53514099121,341.97119140625,-3.6646530628204346,19.0,6.069575309753418,204.0,153.4085235595703
-1,0,0,1,1,129246.1484670639,129249.66073036194,127814.53514099121,341.97119140625,-3.6646530628204346,19.0,6.069575309753418,204.0,153.4085235595703
-1,0,0,1,1,129246.1484670639,129249.66073036194,127814.53514099121,341.97119140625,-3.6646530628204346,19.0,6.069575309753418,204.0,153.4085235595703
-1,0,0,1,1,129246.1484670639,129249.66073036194,127814.53514099121,341.97119140625,-3.6646530628204346,19.0,6.069575309753418,204.0,153.4085235595703
-1,0,0,1,1,129246.1484670639,129249.66073036194,127814.53514099121,341.97119140625,-3.6646530628204346,19.0,6.069575309753418,204.0,153.4085235595703
-1,0,0,1,1,129246.1484670639,129249.66073036194,127814.53514099121,341.97119140625,-3.6646530628204346,19.0,6.069575309753418,204.0,153.4085235595703
-1,0,0,1,1,129246.1484670639,129249.66073036194,127814.53514099121,341.97119140625,-3.6646530628204346,19.0,6.069575309753418,204.0,153.4085235595703
-1,0,0,1,1,129246.1484670639,129249.66073036194,127814.53514099121,341.97119140625,-3.6646530628204346,19.0,6.069575309753418,204.0,153.4085235595703
